runs,country,dayofyear,time,residual,subset
h167,SWE,334,2009-11-30 12:00:00,-0.044666688509462316,all sets
h168,SWE,334,2009-11-30 12:00:00,0.02174717321846599,all sets
h169,SWE,334,2009-11-30 12:00:00,0.022196625451769668,all sets
h147,SWE,334,2009-11-30 12:00:00,0.6126217192198968,sets with events
h046,SWE,334,2009-11-30 12:00:00,0.2871166669722754,sets with events
h148,SWE,334,2009-11-30 12:00:00,0.3236210900750585,sets with events
h150,SWE,334,2009-11-30 12:00:00,0.35943911163489584,sets with events
h118,SWE,334,2009-11-30 12:00:00,0.47045442255389636,sets with events
h146,SWE,334,2009-11-30 12:00:00,0.5103979190171923,sets with events
h165,SWE,334,2009-11-30 12:00:00,-0.1092270100723805,sets with events
h103,SWE,334,2009-11-30 12:00:00,0.19662830065136513,sets with events
h061,SWE,334,2009-11-30 12:00:00,0.3231600777428622,sets with events
h151,SWE,334,2009-11-30 12:00:00,0.1103050522298534,sets with events
h069,SWE,334,2009-11-30 12:00:00,0.6869901363458553,sets with events
h068,SWE,334,2009-11-30 12:00:00,0.13960007124072782,sets with events
h025,SWE,334,2009-11-30 12:00:00,0.13657214470871715,sets with events
h102,SWE,334,2009-11-30 12:00:00,0.1840128513837577,sets with events
h141,SWE,334,2009-11-30 12:00:00,0.23506480159488105,sets with events
h048,SWE,334,2009-11-30 12:00:00,0.10019754789985688,sets with events
h120,SWE,334,2009-11-30 12:00:00,0.09904301682451731,sets with events
h010,SWE,334,2009-11-30 12:00:00,0.11687022546880918,sets with events
h163,SWE,334,2009-11-30 12:00:00,0.2570562437482075,sets with events
h145,SWE,334,2009-11-30 12:00:00,0.3624883592626646,sets with events
h092,SWE,334,2009-11-30 12:00:00,0.08728595617702199,sets with events
h090,SWE,334,2009-11-30 12:00:00,-0.11623364351857655,sets with events
h059,SWE,334,2009-11-30 12:00:00,0.37800747644370025,sets with events
h021,SWE,334,2009-11-30 12:00:00,-0.05460344981551994,sets with events
h087,SWE,334,2009-11-30 12:00:00,0.449646385930408,sets with events
h154,SWE,334,2009-11-30 12:00:00,0.12984137762553408,sets with events
h138,SWE,334,2009-11-30 12:00:00,0.06001513858548209,sets with events
h053,SWE,334,2009-11-30 12:00:00,0.2629357546304826,sets with events
h063,SWE,334,2009-11-30 12:00:00,0.16150030216606548,sets with events
h058,SWE,334,2009-11-30 12:00:00,0.2871678544267167,sets with events
h149,SWE,334,2009-11-30 12:00:00,0.20781354650643358,sets with events
h067,SWE,334,2009-11-30 12:00:00,0.2549818273898861,sets with events
h013,SWE,334,2009-11-30 12:00:00,0.07142899831623,sets with events
h033,SWE,334,2009-11-30 12:00:00,0.22996660995419876,sets with events
h052,SWE,334,2009-11-30 12:00:00,0.3291391920796758,sets with events
h157,SWE,334,2009-11-30 12:00:00,0.20907125392279274,sets with events
h096,SWE,334,2009-11-30 12:00:00,0.31897786394701627,sets with events
h047,SWE,334,2009-11-30 12:00:00,0.31700835772800257,sets with events
h032,SWE,334,2009-11-30 12:00:00,0.32741947856626097,sets with events
h064,SWE,334,2009-11-30 12:00:00,0.08995192806680037,sets with events
h143,SWE,334,2009-11-30 12:00:00,0.3386703195806701,sets with events
h160,SWE,334,2009-11-30 12:00:00,0.04617274530030007,sets with events
h117,SWE,334,2009-11-30 12:00:00,0.03908866504387353,sets with events
h081,SWE,334,2009-11-30 12:00:00,-0.2545763452914468,sets with events
h056,SWE,334,2009-11-30 12:00:00,0.4843142739782795,sets with events
h152,SWE,334,2009-11-30 12:00:00,0.4536593300137994,sets with events
h169,SWE,334,2009-11-30 12:00:00,0.022196625451769668,sets with events
h093,SWE,334,2009-11-30 12:00:00,0.10679389039048723,sets with events
h142,SWE,334,2009-11-30 12:00:00,0.2837192924378009,sets with events
h161,SWE,334,2009-11-30 12:00:00,0.097746806159267,sets with events
h168,SWE,334,2009-11-30 12:00:00,0.02174717321846599,sets with events
h156,SWE,334,2009-11-30 12:00:00,0.09602731525425555,sets with events
h111,SWE,334,2009-11-30 12:00:00,0.22352012955196987,sets with events
h097,SWE,334,2009-11-30 12:00:00,0.03765306998848216,sets with events
h124,SWE,334,2009-11-30 12:00:00,-0.0867491874692092,sets with events
h045,SWE,334,2009-11-30 12:00:00,0.10520659745259457,sets with events
h078,SWE,334,2009-11-30 12:00:00,0.268349162235746,sets with events
h121,SWE,334,2009-11-30 12:00:00,-0.04425492504812274,sets with events
h098,SWE,334,2009-11-30 12:00:00,0.30943668793534745,sets with events
h055,SWE,334,2009-11-30 12:00:00,0.1096288114385213,sets with events
h140,SWE,334,2009-11-30 12:00:00,0.1897705899018493,sets with events
h030,SWE,334,2009-11-30 12:00:00,0.1087067579576399,sets with events
h144,SWE,334,2009-11-30 12:00:00,0.276175946031162,sets with events
h037,SWE,334,2009-11-30 12:00:00,0.248491764089941,sets with events
h020,SWE,334,2009-11-30 12:00:00,0.10681966674481418,sets with events
h027,SWE,334,2009-11-30 12:00:00,0.10517876431303795,sets with events
h085,SWE,334,2009-11-30 12:00:00,0.06398945233654169,sets with events
h044,SWE,334,2009-11-30 12:00:00,-0.055159036615279336,sets with events
h010,NOR,334,2009-11-30 12:00:00,0.019494118448976024,all sets
h011,NOR,334,2009-11-30 12:00:00,0.09502347813290267,all sets
h012,NOR,334,2009-11-30 12:00:00,-0.2289422579150542,all sets
h013,NOR,334,2009-11-30 12:00:00,0.06500328987921423,all sets
h014,NOR,334,2009-11-30 12:00:00,-0.19282739689306985,all sets
h015,NOR,334,2009-11-30 12:00:00,0.047751505939836694,all sets
h016,NOR,334,2009-11-30 12:00:00,-0.28827771433150784,all sets
h017,NOR,334,2009-11-30 12:00:00,-0.3527378960654097,all sets
h018,NOR,334,2009-11-30 12:00:00,-0.2790144988807652,all sets
h019,NOR,334,2009-11-30 12:00:00,-0.43963250930921155,all sets
h020,NOR,334,2009-11-30 12:00:00,0.36128001133393645,all sets
h021,NOR,334,2009-11-30 12:00:00,-0.19804885395330013,all sets
h022,NOR,334,2009-11-30 12:00:00,-0.08914164736256809,all sets
h023,NOR,334,2009-11-30 12:00:00,0.0294093508386628,all sets
h024,NOR,334,2009-11-30 12:00:00,0.010116736447819774,all sets
h025,NOR,334,2009-11-30 12:00:00,0.06404723839797857,all sets
h026,NOR,334,2009-11-30 12:00:00,-0.3218701956851704,all sets
h027,NOR,334,2009-11-30 12:00:00,-0.13612277209671653,all sets
h028,NOR,334,2009-11-30 12:00:00,-0.4314709967021213,all sets
h029,NOR,334,2009-11-30 12:00:00,-0.10335357470578084,all sets
h030,NOR,334,2009-11-30 12:00:00,0.0032953626608341266,all sets
h031,NOR,334,2009-11-30 12:00:00,0.02126578649184342,all sets
h032,NOR,334,2009-11-30 12:00:00,0.35602264088286756,all sets
h033,NOR,334,2009-11-30 12:00:00,0.38441011329007935,all sets
h034,NOR,334,2009-11-30 12:00:00,-0.38475041257903686,all sets
h035,NOR,334,2009-11-30 12:00:00,-0.16736446434336413,all sets
h036,NOR,334,2009-11-30 12:00:00,-0.07952034908495924,all sets
h037,NOR,334,2009-11-30 12:00:00,0.2885064523536517,all sets
h038,NOR,334,2009-11-30 12:00:00,-0.1834118729242455,all sets
h039,NOR,334,2009-11-30 12:00:00,0.051739409622172515,all sets
h040,NOR,334,2009-11-30 12:00:00,0.10834886655365855,all sets
h041,NOR,334,2009-11-30 12:00:00,-0.17647955460902598,all sets
h042,NOR,334,2009-11-30 12:00:00,-0.21502665602412604,all sets
h043,NOR,334,2009-11-30 12:00:00,-0.10159627798997925,all sets
h044,NOR,334,2009-11-30 12:00:00,-0.006108095796002421,all sets
h045,NOR,334,2009-11-30 12:00:00,0.562030877571633,all sets
h046,NOR,334,2009-11-30 12:00:00,0.4769055589384702,all sets
h047,NOR,334,2009-11-30 12:00:00,0.07218592697364141,all sets
h048,NOR,334,2009-11-30 12:00:00,0.04082891758108375,all sets
h049,NOR,334,2009-11-30 12:00:00,0.09178811526951473,all sets
h050,NOR,334,2009-11-30 12:00:00,-0.1397260331771334,all sets
h051,NOR,334,2009-11-30 12:00:00,0.06975225930289711,all sets
h052,NOR,334,2009-11-30 12:00:00,0.4630739024446967,all sets
h053,NOR,334,2009-11-30 12:00:00,0.4272916952034408,all sets
h054,NOR,334,2009-11-30 12:00:00,0.21363124871465103,all sets
h055,NOR,334,2009-11-30 12:00:00,0.2228800843125851,all sets
h056,NOR,334,2009-11-30 12:00:00,0.5770964313093937,all sets
h057,NOR,334,2009-11-30 12:00:00,0.1831196992304255,all sets
h058,NOR,334,2009-11-30 12:00:00,0.13953450081667848,all sets
h059,NOR,334,2009-11-30 12:00:00,0.42243821711577056,all sets
h060,NOR,334,2009-11-30 12:00:00,-0.08703916766920432,all sets
h061,NOR,334,2009-11-30 12:00:00,0.4823641816680178,all sets
h062,NOR,334,2009-11-30 12:00:00,0.150075992322389,all sets
h063,NOR,334,2009-11-30 12:00:00,0.1552718772461378,all sets
h064,NOR,334,2009-11-30 12:00:00,0.19381016543789897,all sets
h065,NOR,334,2009-11-30 12:00:00,-0.5864525915405369,all sets
h066,NOR,334,2009-11-30 12:00:00,-0.02683838018482632,all sets
h067,NOR,334,2009-11-30 12:00:00,0.14948747498375942,all sets
h068,NOR,334,2009-11-30 12:00:00,0.34593882490477007,all sets
h069,NOR,334,2009-11-30 12:00:00,0.6039058686614218,all sets
h070,NOR,334,2009-11-30 12:00:00,-0.4405325686249697,all sets
h071,NOR,334,2009-11-30 12:00:00,-0.5995261955883643,all sets
h072,NOR,334,2009-11-30 12:00:00,-0.07306709583527313,all sets
h073,NOR,334,2009-11-30 12:00:00,-0.008186262320506937,all sets
h074,NOR,334,2009-11-30 12:00:00,-0.2943174726866462,all sets
h075,NOR,334,2009-11-30 12:00:00,0.022184752143735883,all sets
h076,NOR,334,2009-11-30 12:00:00,-0.6391627551346587,all sets
h077,NOR,334,2009-11-30 12:00:00,-0.023100219270768683,all sets
h078,NOR,334,2009-11-30 12:00:00,-0.03571934813016672,all sets
h079,NOR,334,2009-11-30 12:00:00,-0.3029687548622257,all sets
h080,NOR,334,2009-11-30 12:00:00,-0.3612509000638497,all sets
h081,NOR,334,2009-11-30 12:00:00,-0.4912132258207512,all sets
h082,NOR,334,2009-11-30 12:00:00,-0.46551548059108544,all sets
h083,NOR,334,2009-11-30 12:00:00,-0.1686631679591315,all sets
h084,NOR,334,2009-11-30 12:00:00,-0.2110473183106428,all sets
h085,NOR,334,2009-11-30 12:00:00,0.13246985735539282,all sets
h086,NOR,334,2009-11-30 12:00:00,0.10682272926761195,all sets
