runs,year,Ein,netto_demand,country
h048,2007,374666.18792630517,306032.183992629,35.0
h048,2008,530685.8335357923,304973.05240341433,35.0
h048,2009,428248.7110810203,308654.0378398377,35.0
h049,2000,396743.41247615375,313556.69398646505,35.0
h049,2001,488640.63828650885,298878.2359580076,35.0
h049,2002,474972.8139342926,296268.56835275644,35.0
h049,2003,365012.4826755076,309975.40285298956,35.0
h049,2004,432310.0255713289,294890.7264308087,35.0
h049,2005,469249.22865873936,291178.9965634729,35.0
h049,2006,417752.0633540649,302671.48110026703,35.0
h049,2007,383895.1122461425,302814.2773197676,35.0
h049,2008,295728.04034931556,299599.6212212324,35.0
h049,2009,401895.38884826493,274645.3983761413,35.0
h050,2000,293779.7947084341,308022.6212982532,35.0
h050,2001,513037.540148205,304209.9070302332,35.0
h050,2002,525227.2800544304,297163.86724734685,35.0
h050,2003,317824.57959589956,320385.7590742562,35.0
h050,2004,569945.1761580172,299370.88490589877,35.0
h050,2005,341877.704850271,308748.33985573915,35.0
h050,2006,458436.2698339243,309142.83624075627,35.0
h050,2007,448706.2596622439,296274.0205475683,35.0
h050,2008,542112.4305137031,293135.14099191263,35.0
h050,2009,401464.4258304512,324383.9443775685,35.0
h051,2000,496547.6276134019,311783.95819987945,35.0
h051,2001,411679.51966787624,306641.83312498487,35.0
h051,2002,506064.71490419714,291916.93530034815,35.0
h051,2003,434510.21116886125,301913.5810815192,35.0
h051,2004,505870.6943814791,296965.6947880609,35.0
h051,2005,476179.3294552745,303940.7433800482,35.0
h051,2006,384443.37239722477,316166.0782908381,35.0
h051,2007,459838.8057597404,315658.25455047656,35.0
h051,2008,397049.1391830289,325630.9872049572,35.0
h051,2009,248346.88248360474,294437.6431939589,35.0
h052,2000,373993.4602192731,297933.3917019761,35.0
h052,2001,323403.50226563035,308712.88178093417,35.0
h052,2002,346939.9317197626,319602.66245037486,35.0
h052,2003,410670.5709275194,300582.3378470742,35.0
h052,2004,565146.6722340827,320229.9767573712,35.0
h052,2005,315242.91387771245,316336.19628886174,35.0
h052,2006,329080.2918196885,310554.26625130756,35.0
h052,2007,467376.974501841,300296.993963353,35.0
h052,2008,642434.9949907116,293757.1756795839,35.0
h052,2009,500151.5781960685,294707.0241931062,35.0
h053,2000,420602.55202382617,312798.9917833141,35.0
h053,2001,317516.7568356626,320248.69676834863,35.0
h053,2002,356528.4344345802,323535.7012723943,35.0
h053,2003,533036.4471243306,319271.3307201882,35.0
h053,2004,243410.93210170735,328163.49982185184,35.0
h053,2005,383952.6629758043,315606.26193211204,35.0
h053,2006,341407.9987060845,319961.4805086962,35.0
h053,2007,452180.48386880965,314041.2128321037,35.0
h053,2008,477152.8221874095,315413.53281771694,35.0
h053,2009,247487.18773839288,308479.4591916748,35.0
h054,2000,320947.6668603938,296988.48566858924,35.0
h054,2001,503249.1008695248,302858.2793773364,35.0
h054,2002,541664.527868643,304544.5456221182,35.0
h054,2003,313756.44126175117,308592.6416220338,35.0
h054,2004,620927.2977578586,300196.53308005823,35.0
h054,2005,517758.49728670233,323596.9647611901,35.0
h054,2006,465561.5278435937,301125.324669472,35.0
h054,2007,365233.75459109433,311969.3951671637,35.0
h054,2008,444234.24220086995,324434.02048807975,35.0
h054,2009,469746.82666306535,305624.8450074414,35.0
h055,2000,406004.6262305461,308330.09378052223,35.0
h055,2001,377411.7470930308,302648.05926973943,35.0
h055,2002,515741.35590306466,294496.5035850777,35.0
h055,2003,341379.88867089,338541.70408235386,35.0
h055,2004,397525.7322347454,321246.0589744687,35.0
h055,2005,495380.59320603654,290147.56099962106,35.0
h055,2006,434073.58774111763,306980.3505547196,35.0
h055,2007,585477.4091152127,299111.46861912904,35.0
h055,2008,477654.357200568,313250.6486537002,35.0
h055,2009,483183.4897797431,309115.1356201962,35.0
h056,2000,355570.7093451684,324886.75084928743,35.0
h056,2001,442908.6206622914,294626.0069392327,35.0
h056,2002,303636.81206003006,319985.9018353553,35.0
h056,2003,385601.2530276357,312540.0233990693,35.0
h056,2004,304095.99453341006,337154.13677773735,35.0
h056,2005,292966.5851242859,342136.22998793324,35.0
h056,2006,310213.7745685708,325306.8417463552,35.0
h056,2007,508760.3767995411,317068.39035681693,35.0
h056,2008,379206.46285780333,303817.5087824905,35.0
h056,2009,492901.78187326586,295955.12543987844,35.0
h057,2000,407888.587188785,303604.4186782114,35.0
h057,2001,494906.35393810243,294409.18296114035,35.0
h057,2002,477175.21668829286,322119.82774811605,35.0
h057,2003,543526.9331516653,279682.84198803565,35.0
h057,2004,555804.2752056677,294970.59635619423,35.0
h057,2005,382317.17603045143,318561.6305597267,35.0
h057,2006,559028.1871001017,299925.64475289674,35.0
h057,2007,327551.5057117465,308146.5839730315,35.0
h057,2008,405670.1705966353,318128.67419026763,35.0
h057,2009,445095.4680946572,297951.1928083241,35.0
h058,2000,442002.5333213356,290864.091490124,35.0
h058,2001,551440.6815536192,300690.0019967509,35.0
h058,2002,289048.744795965,351714.2879967948,35.0
h058,2003,300197.6398360421,319422.7137153339,35.0
h058,2004,341617.52915184275,316281.54340530495,35.0
h058,2005,556313.5478401718,304545.62326829095,35.0
h058,2006,489311.93652072456,298777.8427080533,35.0
h058,2007,319483.69276763743,306547.551587576,35.0
h058,2008,501640.619474375,305380.74201342755,35.0
h058,2009,316866.20360844093,304314.61371114355,35.0
h059,2000,306320.4140356482,319400.26326717896,35.0
h059,2001,394530.6417210693,294658.8876002821,35.0
h059,2002,364134.2630230501,317945.774560079,35.0
h059,2003,334422.8683840821,321218.4699190527,35.0
h059,2004,267596.59075280325,312147.9679347951,35.0
h059,2005,440305.26356863766,290133.33161466825,35.0
h059,2006,409564.8063395493,302028.79161431943,35.0
h059,2007,501785.3977540235,288384.60636784567,35.0
h059,2008,498533.19644132425,304783.19449285866,35.0
h059,2009,475450.5354616355,310586.21670952835,35.0
h060,2000,419875.7849208965,325879.94086786435,35.0
h060,2001,343154.23003152537,307234.7954072518,35.0
h060,2002,362808.241503369,305360.9261154201,35.0
h060,2003,438864.36466233985,311617.5958507441,35.0
h060,2004,424837.4833095461,309811.3192265619,35.0
h060,2005,455217.5773666038,296773.0801793147,35.0
h060,2006,479858.31295952125,308361.7795240581,35.0
h060,2007,542784.5784197517,300761.47601617663,35.0
h060,2008,606778.08566137,298821.47813472344,35.0
h060,2009,391428.38742099365,314281.3702346519,35.0
h061,2000,312112.27219642885,334595.1099685069,35.0
h061,2001,377015.3823879348,324657.081248171,35.0
h061,2002,365147.49669582886,291690.3751563003,35.0
h061,2003,252669.6247952943,312407.0241933324,35.0
h061,2004,310154.3587897276,305365.7065765582,35.0
h061,2005,490796.6343631519,295511.9508177778,35.0
h061,2006,369944.92293398944,314356.7272172632,35.0
h061,2007,508320.9801712505,292515.9092272314,35.0
h061,2008,373996.44030332385,300463.38852446456,35.0
h061,2009,184851.72334080603,315448.454207918,35.0
h062,2000,452535.6927456998,327946.14141711075,35.0
h062,2001,555806.4166591335,306692.5727866403,35.0
h062,2002,438117.02197393216,317074.1951992216,35.0
h062,2003,330240.78602651117,331361.7937005934,35.0
h062,2004,351620.145520592,319458.46236603154,35.0
h062,2005,530153.5602607882,299680.87812154077,35.0
h062,2006,458103.21292783663,312457.6721797841,35.0
h062,2007,432784.4414742741,300411.5705920996,35.0
h062,2008,375765.9073986157,310616.5629479786,35.0
h062,2009,521567.0351875504,303361.3257123146,35.0
h063,2000,383604.99700477405,314272.6636573888,35.0
